_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
4553464,4553464,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,22-11-2022 12:00,-24.029
4553465,4553465,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,22-11-2022 18:00,-24.054
4553466,4553466,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,23-11-2022 00:00,-24.047
4553467,4553467,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,23-11-2022 06:00,-24.095
4553468,4553468,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,23-11-2022 12:00,-24.12
4553469,4553469,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,23-11-2022 18:00,-24.136
4553470,4553470,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,24-11-2022 00:00,-24.119
4553471,4553471,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,24-11-2022 06:00,-24.14
4553472,4553472,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,24-11-2022 12:00,-24.116
4553473,4553473,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,24-11-2022 18:00,-24.13
4553474,4553474,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,25-11-2022 00:00,-24.105
4553475,4553475,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,25-11-2022 06:00,-24.102
4553476,4553476,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,25-11-2022 12:00,-24.102
4553477,4553477,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,25-11-2022 18:00,-24.11
4553478,4553478,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,26-11-2022 00:00,-24.103
4553479,4553479,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,26-11-2022 06:00,-24.133
4553480,4553480,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,26-11-2022 12:00,1
4553481,4553481,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,26-11-2022 18:00,-24.182
4553482,4553482,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-11-2022 00:00,-24.189
4553483,4553483,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-11-2022 06:00,-24.193
4553484,4553484,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-11-2022 12:00,1
4553485,4553485,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-11-2022 18:00,-24.208
4553486,4553486,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-11-2022 00:00,-24.209
4553487,4553487,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-11-2022 06:00,-24.251
4553488,4553488,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-11-2022 12:00,-24.29
4553489,4553489,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-11-2022 18:00,1
4553490,4553490,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-11-2022 00:00,-24.259
4553491,4553491,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-11-2022 06:00,-24.27
4553492,4553492,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-11-2022 12:00,1
4553493,4553493,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-11-2022 18:00,-24.249
4553494,4553494,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-12-2022 00:00,-24.415
4553495,4553495,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-12-2022 06:00,-24.449
4553496,4553496,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-12-2022 12:00,-24.449
4553497,4553497,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-12-2022 18:00,-24.475
4553498,4553498,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,05-12-2022 00:00,-24.514
4553499,4553499,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,05-12-2022 06:00,-24.523
4553500,4553500,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,05-12-2022 12:00,-24.51
4553501,4553501,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,05-12-2022 18:00,1
4553502,4553502,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,06-12-2022 00:00,-24.526
4553503,4553503,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,06-12-2022 06:00,1
4553504,4553504,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,06-12-2022 12:00,-24.576
4553505,4553505,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,06-12-2022 18:00,-24.588
4553506,4553506,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,07-12-2022 00:00,-24.542
4553507,4553507,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,07-12-2022 06:00,-24.559
4553508,4553508,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,07-12-2022 12:00,-24.554
4553509,4553509,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,07-12-2022 18:00,-24.57
4553510,4553510,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,08-12-2022 00:00,1
4553511,4553511,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,08-12-2022 06:00,-24.57
4553512,4553512,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,08-12-2022 12:00,-24.567
4553513,4553513,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,08-12-2022 18:00,-24.568
4553514,4553514,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,09-12-2022 00:00,-24.545
4553515,4553515,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,09-12-2022 06:00,-24.534
4553516,4553516,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,09-12-2022 12:00,-24.546
4553517,4553517,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,09-12-2022 18:00,-24.559
4553518,4553518,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,10-12-2022 00:00,-24.541
4553519,4553519,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,10-12-2022 06:00,-24.537
4553520,4553520,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,10-12-2022 12:00,-24.516
4553521,4553521,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,10-12-2022 18:00,-24.505
4553522,4553522,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,11-12-2022 00:00,-24.518
4553523,4553523,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,11-12-2022 06:00,-24.541
4553524,4553524,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,11-12-2022 12:00,-24.559
4553525,4553525,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,11-12-2022 18:00,-24.551
4553526,4553526,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,12-12-2022 00:00,-24.564
4553527,4553527,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,12-12-2022 06:00,-24.553
4553528,4553528,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,12-12-2022 12:00,-24.523
4553529,4553529,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,12-12-2022 18:00,-24.525
4553530,4553530,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,13-12-2022 00:00,-24.503
4553531,4553531,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,13-12-2022 06:00,-24.513
4553532,4553532,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,13-12-2022 12:00,-24.493
4553533,4553533,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,13-12-2022 18:00,-24.472
4553534,4553534,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,14-12-2022 00:00,-24.417
4553535,4553535,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,14-12-2022 06:00,-24.389
4553536,4553536,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,14-12-2022 12:00,-24.336
4553537,4553537,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,14-12-2022 18:00,-24.29
4553538,4553538,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,15-12-2022 00:00,-24.222
4553539,4553539,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,15-12-2022 06:00,-24.209
4553540,4553540,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,15-12-2022 12:00,-24.165
4553541,4553541,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,15-12-2022 18:00,-24.135
4553542,4553542,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,16-12-2022 00:00,-24.084
4553543,4553543,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,16-12-2022 06:00,1
4553544,4553544,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,16-12-2022 12:00,-24.013
4553545,4553545,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,16-12-2022 18:00,-24
4553546,4553546,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,17-12-2022 00:00,-23.966
4553547,4553547,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,17-12-2022 06:00,-23.956
4553548,4553548,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,17-12-2022 12:00,-23.925
4553549,4553549,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,17-12-2022 18:00,-23.947
4553550,4553550,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,18-12-2022 00:00,-23.914
4553551,4553551,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,18-12-2022 06:00,-23.908
4553552,4553552,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,18-12-2022 12:00,-23.876
4553553,4553553,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,18-12-2022 18:00,-23.857
4553554,4553554,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,19-12-2022 00:00,-23.824
4553555,4553555,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,19-12-2022 06:00,-23.82
4553556,4553556,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,19-12-2022 12:00,-23.775
4553557,4553557,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,19-12-2022 18:00,-23.761
4553558,4553558,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,20-12-2022 00:00,-23.738
4553559,4553559,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,20-12-2022 06:00,1
4553560,4553560,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,20-12-2022 12:00,-23.706
4553561,4553561,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,20-12-2022 18:00,-23.713
4553562,4553562,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,21-12-2022 00:00,-23.698
4553563,4553563,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,21-12-2022 06:00,-23.695
4553564,4553564,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,21-12-2022 12:00,-23.675
4553565,4553565,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,21-12-2022 18:00,-23.668
4553566,4553566,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,22-12-2022 00:00,1
4553567,4553567,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,22-12-2022 06:00,-23.635
4553568,4553568,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,22-12-2022 12:00,-23.627
4553569,4553569,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,22-12-2022 18:00,-23.634
4553570,4553570,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-12-2022 00:00,-23.63
4553571,4553571,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-12-2022 06:00,-23.613
4553572,4553572,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-12-2022 12:00,-23.608
4553573,4553573,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,27-12-2022 18:00,-23.601
4553574,4553574,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-12-2022 00:00,-23.58
4553575,4553575,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-12-2022 06:00,-23.605
4553576,4553576,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-12-2022 12:00,-23.601
4553577,4553577,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,28-12-2022 18:00,-23.62
4553578,4553578,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,29-12-2022 00:00,-23.594
4553579,4553579,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,29-12-2022 06:00,-23.617
4553580,4553580,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,29-12-2022 12:00,1
4553581,4553581,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,29-12-2022 18:00,-23.621
4553582,4553582,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-12-2022 00:00,-23.619
4553583,4553583,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-12-2022 06:00,-23.638
4553584,4553584,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-12-2022 12:00,-23.627
4553585,4553585,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,30-12-2022 18:00,1
4553586,4553586,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,01-01-2023 00:00,1
4553587,4553587,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,01-01-2023 06:00,1
4553588,4553588,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,01-01-2023 12:00,-23.75
4553589,4553589,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,01-01-2023 18:00,-23.786
4553590,4553590,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,02-01-2023 00:00,1
4553591,4553591,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,02-01-2023 06:00,-23.836
4553592,4553592,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,02-01-2023 12:00,-23.824
4553593,4553593,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,02-01-2023 18:00,-23.846
4553594,4553594,Rajanukunte,Karnataka GW,29,Karnataka,525,Bangalore Urban,Yelahanka,Yelahanka,Rajanukunte,-,-,-,-,-,-,13.17000000,77.57000000,,03-01-2023 00:00,-23.827
